-9e-08	1.33	6.59951e-07	6.92744e-07	6.83703e-07	6.58708e-07	6.91361e-07
-9e-08	1.34	6.60042e-07	6.92856e-07	6.838e-07	6.58787e-07	6.91473e-07
-9e-08	1.35	6.60155e-07	6.92994e-07	6.83885e-07	6.589e-07	6.9161e-07
-9.5e-08	1.33	6.60178e-07	6.93006e-07	6.83909e-07	6.58922e-07	6.9161e-07
-9.5e-08	1.34	6.60246e-07	6.93081e-07	6.83982e-07	6.5899e-07	6.91697e-07
-9.5e-08	1.35	6.60303e-07	6.93156e-07	6.84055e-07	6.59047e-07	6.91772e-07
-1e-07	1.33	6.60201e-07	6.93019e-07	6.83922e-07	6.58945e-07	6.91635e-07
-1e-07	1.34	6.60246e-07	6.93081e-07	6.83995e-07	6.5899e-07	6.91697e-07
-1e-07	1.35	6.60303e-07	6.93156e-07	6.84055e-07	6.59047e-07	6.91772e-07
-1.05e-07	1.33	6.60223e-07	6.93044e-07	6.83946e-07	6.58967e-07	6.9166e-07
-1.05e-07	1.34	6.60257e-07	6.93094e-07	6.84007e-07	6.59001e-07	6.91722e-07
-1.05e-07	1.35	6.60303e-07	6.93156e-07	6.84055e-07	6.59047e-07	6.91772e-07
-1.1e-07	1.33	6.60235e-07	6.93069e-07	6.8397e-07	6.58979e-07	6.91685e-07
-1.1e-07	1.34	6.60269e-07	6.93106e-07	6.84007e-07	6.59013e-07	6.91722e-07
-1.1e-07	1.35	6.60303e-07	6.93156e-07	6.84055e-07	6.59047e-07	6.91772e-07
-1.15e-07	1.33	6.60246e-07	6.93081e-07	6.83982e-07	6.5899e-07	6.91697e-07
-1.15e-07	1.34	6.6028e-07	6.93119e-07	6.84019e-07	6.59024e-07	6.91735e-07
-1.15e-07	1.35	6.60303e-07	6.93156e-07	6.84055e-07	6.59047e-07	6.91772e-07
-1.2e-07	1.33	6.60257e-07	6.93094e-07	6.83995e-07	6.59001e-07	6.9171e-07
-1.2e-07	1.34	6.6028e-07	6.93131e-07	6.84031e-07	6.59024e-07	6.91747e-07
